flow_id,pair_id,template_id,split,language,scenario,risk_type,label,changed_factor,currency,base_price,final_price,fee_name,fee_amount,fee_first_step,addon_name,addon_price,addon_default_selected,trial_days,renewal_price,billing_interval,renewal_first_step,auto_renewal,total_steps,data_origin
d04_retail_01_hidden_fee_r,d04_retail_01_hidden_fee,retail_01,train,zh,电子产品购买,hidden_fee,hidden_fee,fee_disclosure_timing,CNY,899.0,928.0,订单处理费,29.0,4,,0.0,False,0,0.0,none,0,False,4,synthetic_controlled
d04_retail_01_preselected_addon_n,d04_retail_01_preselected_addon,retail_01,train,zh,电子产品购买,preselected_addon,normal,default_selection,CNY,899.0,899.0,,0.0,0,两年延长保障,69.0,False,0,0.0,none,0,False,4,synthetic_controlled
d04_retail_01_preselected_addon_r,d04_retail_01_preselected_addon,retail_01,train,zh,电子产品购买,preselected_addon,preselected_addon,default_selection,CNY,899.0,968.0,,0.0,0,两年延长保障,69.0,True,0,0.0,none,0,False,4,synthetic_controlled
d04_retail_01_trial_to_paid_n,d04_retail_01_trial_to_paid,retail_01,train,zh,电子产品购买,trial_to_paid,normal,renewal_disclosure_timing,CNY,0.0,0.0,,0.0,0,,0.0,False,7,29.9,month,1,True,4,synthetic_controlled
d04_retail_01_trial_to_paid_r,d04_retail_01_trial_to_paid,retail_01,train,zh,电子产品购买,trial_to_paid,trial_to_paid,renewal_disclosure_timing,CNY,0.0,0.0,,0.0,0,,0.0,False,7,29.9,month,4,True,4,synthetic_controlled
d04_subscription_01_hidden_fee_n,d04_subscription_01_hidden_fee,subscription_01,train,en,Music membership,hidden_fee,normal,fee_disclosure_timing,USD,49.0,55.0,Activation fee,6.0,1,,0.0,False,0,0.0,none,0,False,4,synthetic_controlled
d04_subscription_01_hidden_fee_r,d04_subscription_01_hidden_fee,subscription_01,train,en,Music membership,hidden_fee,hidden_fee,fee_disclosure_timing,USD,49.0,55.0,Activation fee,6.0,4,,0.0,False,0,0.0,none,0,False,4,synthetic_controlled
d04_subscription_01_preselected_addon_n,d04_subscription_01_preselected_addon,subscription_01,train,en,Music membership,preselected_addon,normal,default_selection,USD,49.0,49.0,,0.0,0,Hi-res audio pack,8.0,False,0,0.0,none,0,False,4,synthetic_controlled
d04_subscription_01_preselected_addon_r,d04_subscription_01_preselected_addon,subscription_01,train,en,Music membership,preselected_addon,preselected_addon,default_selection,USD,49.0,57.0,,0.0,0,Hi-res audio pack,8.0,True,0,0.0,none,0,False,4,synthetic_controlled
d04_subscription_01_trial_to_paid_n,d04_subscription_01_trial_to_paid,subscription_01,train,en,Music membership,trial_to_paid,normal,renewal_disclosure_timing,USD,0.0,0.0,,0.0,0,,0.0,False,7,15.99,month,1,True,4,synthetic_controlled
d04_subscription_01_trial_to_paid_r,d04_subscription_01_trial_to_paid,subscription_01,train,en,Music membership,trial_to_paid,trial_to_paid,renewal_disclosure_timing,USD,0.0,0.0,,0.0,0,,0.0,False,7,15.99,month,4,True,4,synthetic_controlled
d04_rail_01_hidden_fee_n,d04_rail_01_hidden_fee,rail_01,train,zh,火车票预订,hidden_fee,normal,fee_disclosure_timing,CNY,240.0,250.0,出票服务费,10.0,1,,0.0,False,0,0.0,none,0,False,4,synthetic_controlled
d04_rail_01_hidden_fee_r,d04_rail_01_hidden_fee,rail_01,train,zh,火车票预订,hidden_fee,hidden_fee,fee_disclosure_timing,CNY,240.0,250.0,出票服务费,10.0,4,,0.0,False,0,0.0,none,0,False,4,synthetic_controlled
d04_rail_01_preselected_addon_n,d04_rail_01_preselected_addon,rail_01,train,zh,火车票预订,preselected_addon,normal,default_selection,CNY,240.0,240.0,,0.0,0,出行保障,12.0,False,0,0.0,none,0,False,4,synthetic_controlled
d04_rail_01_preselected_addon_r,d04_rail_01_preselected_addon,rail_01,train,zh,火车票预订,preselected_addon,preselected_addon,default_selection,CNY,240.0,252.0,,0.0,0,出行保障,12.0,True,0,0.0,none,0,False,4,synthetic_controlled
d04_rail_01_trial_to_paid_n,d04_rail_01_trial_to_paid,rail_01,train,zh,火车票预订,trial_to_paid,normal,renewal_disclosure_timing,CNY,0.0,0.0,,0.0,0,,0.0,False,14,18.0,month,1,True,4,synthetic_controlled
d04_rail_01_trial_to_paid_r,d04_rail_01_trial_to_paid,rail_01,train,zh,火车票预订,trial_to_paid,trial_to_paid,renewal_disclosure_timing,CNY,0.0,0.0,,0.0,0,,0.0,False,14,18.0,month,4,True,4,synthetic_controlled
d04_food_01_hidden_fee_n,d04_food_01_hidden_fee,food_01,train,en,Food delivery,hidden_fee,normal,fee_disclosure_timing,USD,38.0,43.0,Packaging fee,5.0,1,,0.0,False,0,0.0,none,0,False,4,synthetic_controlled
d04_food_01_hidden_fee_r,d04_food_01_hidden_fee,food_01,train,en,Food delivery,hidden_fee,hidden_fee,fee_disclosure_timing,USD,38.0,43.0,Packaging fee,5.0,4,,0.0,False,0,0.0,none,0,False,4,synthetic_controlled
d04_food_01_preselected_addon_n,d04_food_01_preselected_addon,food_01,train,en,Food delivery,preselected_addon,normal,default_selection,USD,38.0,38.0,,0.0,0,Priority delivery,7.0,False,0,0.0,none,0,False,4,synthetic_controlled
d04_food_01_preselected_addon_r,d04_food_01_preselected_addon,food_01,train,en,Food delivery,preselected_addon,preselected_addon,default_selection,USD,38.0,45.0,,0.0,0,Priority delivery,7.0,True,0,0.0,none,0,False,4,synthetic_controlled
d04_food_01_trial_to_paid_n,d04_food_01_trial_to_paid,food_01,train,en,Food delivery,trial_to_paid,normal,renewal_disclosure_timing,USD,0.0,0.0,,0.0,0,,0.0,False,30,9.99,month,1,True,4,synthetic_controlled
d04_food_01_trial_to_paid_r,d04_food_01_trial_to_paid,food_01,train,en,Food delivery,trial_to_paid,trial_to_paid,renewal_disclosure_timing,USD,0.0,0.0,,0.0,0,,0.0,False,30,9.99,month,4,True,4,synthetic_controlled
d04_course_01_hidden_fee_n,d04_course_01_hidden_fee,course_01,validation,en,Online course,hidden_fee,normal,fee_disclosure_timing,USD,99.0,108.9,Processing fee,9.9,1,,0.0,False,0,0.0,none,0,False,4,synthetic_controlled
d04_course_01_hidden_fee_r,d04_course_01_hidden_fee,course_01,validation,en,Online course,hidden_fee,hidden_fee,fee_disclosure_timing,USD,99.0,108.9,Processing fee,9.9,4,,0.0,False,0,0.0,none,0,False,4,synthetic_controlled
d04_course_01_preselected_addon_n,d04_course_01_preselected_addon,course_01,validation,en,Online course,preselected_addon,normal,default_selection,USD,99.0,99.0,,0.0,0,Mentor review,25.0,False,0,0.0,none,0,False,4,synthetic_controlled
d04_course_01_preselected_addon_r,d04_course_01_preselected_addon,course_01,validation,en,Online course,preselected_addon,preselected_addon,default_selection,USD,99.0,124.0,,0.0,0,Mentor review,25.0,True,0,0.0,none,0,False,4,synthetic_controlled
d04_course_01_trial_to_paid_n,d04_course_01_trial_to_paid,course_01,validation,en,Online course,trial_to_paid,normal,renewal_disclosure_timing,USD,0.0,0.0,,0.0,0,,0.0,False,7,39.0,month,1,True,4,synthetic_controlled
d04_course_01_trial_to_paid_r,d04_course_01_trial_to_paid,course_01,validation,en,Online course,trial_to_paid,trial_to_paid,renewal_disclosure_timing,USD,0.0,0.0,,0.0,0,,0.0,False,7,39.0,month,4,True,4,synthetic_controlled
d04_flowers_01_hidden_fee_n,d04_flowers_01_hidden_fee,flowers_01,validation,zh,鲜花配送,hidden_fee,normal,fee_disclosure_timing,CNY,129.0,137.0,包装服务费,8.0,1,,0.0,False,0,0.0,none,0,False,4,synthetic_controlled
d04_flowers_01_hidden_fee_r,d04_flowers_01_hidden_fee,flowers_01,validation,zh,鲜花配送,hidden_fee,hidden_fee,fee_disclosure_timing,CNY,129.0,137.0,包装服务费,8.0,4,,0.0,False,0,0.0,none,0,False,4,synthetic_controlled
d04_flowers_01_preselected_addon_n,d04_flowers_01_preselected_addon,flowers_01,validation,zh,鲜花配送,preselected_addon,normal,default_selection,CNY,129.0,129.0,,0.0,0,鲜花会员,19.0,False,0,0.0,none,0,False,4,synthetic_controlled
d04_flowers_01_preselected_addon_r,d04_flowers_01_preselected_addon,flowers_01,validation,zh,鲜花配送,preselected_addon,preselected_addon,default_selection,CNY,129.0,148.0,,0.0,0,鲜花会员,19.0,True,0,0.0,none,0,False,4,synthetic_controlled
d04_flowers_01_trial_to_paid_n,d04_flowers_01_trial_to_paid,flowers_01,validation,zh,鲜花配送,trial_to_paid,normal,renewal_disclosure_timing,CNY,0.0,0.0,,0.0,0,,0.0,False,14,25.0,month,1,True,4,synthetic_controlled
d04_flowers_01_trial_to_paid_r,d04_flowers_01_trial_to_paid,flowers_01,validation,zh,鲜花配送,trial_to_paid,trial_to_paid,renewal_disclosure_timing,CNY,0.0,0.0,,0.0,0,,0.0,False,14,25.0,month,4,True,4,synthetic_controlled
d04_rental_01_hidden_fee_n,d04_rental_01_hidden_fee,rental_01,test,en,Car rental,hidden_fee,normal,fee_disclosure_timing,USD,260.0,292.0,Location fee,32.0,1,,0.0,False,0,0.0,none,0,False,4,synthetic_controlled
d04_rental_01_hidden_fee_r,d04_rental_01_hidden_fee,rental_01,test,en,Car rental,hidden_fee,hidden_fee,fee_disclosure_timing,USD,260.0,292.0,Location fee,32.0,4,,0.0,False,0,0.0,none,0,False,4,synthetic_controlled
d04_rental_01_preselected_addon_n,d04_rental_01_preselected_addon,rental_01,test,en,Car rental,preselected_addon,normal,default_selection,USD,260.0,260.0,,0.0,0,Premium coverage,45.0,False,0,0.0,none,0,False,4,synthetic_controlled
d04_rental_01_preselected_addon_r,d04_rental_01_preselected_addon,rental_01,test,en,Car rental,preselected_addon,preselected_addon,default_selection,USD,260.0,305.0,,0.0,0,Premium coverage,45.0,True,0,0.0,none,0,False,4,synthetic_controlled
d04_rental_01_trial_to_paid_n,d04_rental_01_trial_to_paid,rental_01,test,en,Car rental,trial_to_paid,normal,renewal_disclosure_timing,USD,0.0,0.0,,0.0,0,,0.0,False,7,29.0,month,1,True,4,synthetic_controlled
d04_rental_01_trial_to_paid_r,d04_rental_01_trial_to_paid,rental_01,test,en,Car rental,trial_to_paid,trial_to_paid,renewal_disclosure_timing,USD,0.0,0.0,,0.0,0,,0.0,False,7,29.0,month,4,True,4,synthetic_controlled
d04_cloud_01_hidden_fee_n,d04_cloud_01_hidden_fee,cloud_01,test,zh,云存储服务,hidden_fee,normal,fee_disclosure_timing,CNY,59.0,65.0,账户开通费,6.0,1,,0.0,False,0,0.0,none,0,False,4,synthetic_controlled
d04_cloud_01_hidden_fee_r,d04_cloud_01_hidden_fee,cloud_01,test,zh,云存储服务,hidden_fee,hidden_fee,fee_disclosure_timing,CNY,59.0,65.0,账户开通费,6.0,4,,0.0,False,0,0.0,none,0,False,4,synthetic_controlled
d04_cloud_01_preselected_addon_n,d04_cloud_01_preselected_addon,cloud_01,test,zh,云存储服务,preselected_addon,normal,default_selection,CNY,59.0,59.0,,0.0,0,数据恢复服务,15.0,False,0,0.0,none,0,False,4,synthetic_controlled
d04_cloud_01_preselected_addon_r,d04_cloud_01_preselected_addon,cloud_01,test,zh,云存储服务,preselected_addon,preselected_addon,default_selection,CNY,59.0,74.0,,0.0,0,数据恢复服务,15.0,True,0,0.0,none,0,False,4,synthetic_controlled
d04_cloud_01_trial_to_paid_n,d04_cloud_01_trial_to_paid,cloud_01,test,zh,云存储服务,trial_to_paid,normal,renewal_disclosure_timing,CNY,0.0,0.0,,0.0,0,,0.0,False,14,29.9,month,1,True,4,synthetic_controlled
d04_cloud_01_trial_to_paid_r,d04_cloud_01_trial_to_paid,cloud_01,test,zh,云存储服务,trial_to_paid,trial_to_paid,renewal_disclosure_timing,CNY,0.0,0.0,,0.0,0,,0.0,False,14,29.9,month,4,True,4,synthetic_controlled
